Hectares,MUNIC_CD,MUNIC_NOME,Polo_Nome,Polo_Tipo,UF,UGRH_ID,UGRH_Nome,din_class,din_classF,latitude,longitude
132.95367648,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.25530106812664,-48.36629310078433
25.74814421,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,Indefinido,INDEFINIDO,-15.231176182134714,-48.34887844390832
35.97614065,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.235625103768148,-48.35245636436117
63.1086921,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.298637962778935,-48.32563779277354
116.7164004,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.299641882388107,-48.31480904252557
54.1225952,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.299249587751964,-48.30537346482198
41.67935923,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,Indefinido,INDEFINIDO,-15.289141540962213,-48.303188716940625
30.30961757,5221700,Uruana,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.52752451210239,-49.57749723631264
40.21091851,5210406,Itaberaí,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.96217517286247,-49.81337608888134
12.31699247,5210406,Itaberaí,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.890470190967617,-49.80193266551478
28.33697255,5208905,Goiás,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.949356772417755,-49.90074817261184
23.02411503,5208905,Goiás,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.952999424299955,-49.89984867829996
21.61380132,5208905,Goiás,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.938062600363812,-49.88853154493524
23.84806453,5208905,Goiás,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.98335630160103,-49.98611183431805
14.86671426,5208905,Goiás,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.986206138051172,-49.98046076103771
54.20756754,5205802,Corumbá de Goiás,,,GO,15,Paranaíba,SC,SAFRA SIMPLES,-15.95361081296491,-48.869990500541725
10.01352991,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.580436843725026,-48.29649438525332
9.79529048,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.578171238703444,-48.294096497404276
11.88007708,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.582437272972992,-48.29337865835035
10.79588317,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.579318566919094,-48.285986443622626
22.15194673,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.576153512994555,-48.28288598989214
14.65854074,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.589601274649532,-48.27463847759023
15.85686082,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.566429474212878,-48.262908682301855
11.86989908,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.573948388433912,-48.25965549685981
25.77337328,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SP,SEMIPERENE,-15.566207281776245,-48.2576547114636
17.0736178,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-15.566002593105074,-48.267826643323374
38.4384405,5210406,Itaberaí,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.17132065846355,-49.863133946026856
5.62642246,5210406,Itaberaí,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.097345044016127,-49.7485067196172
24.62935224,5221007,Taquaral de Goiás,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.051349216380007,-49.65980529864955
38.78199167,5210406,Itaberaí,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.16687234469537,-49.74357595311861
7.29690901,5210406,Itaberaí,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.164440994633388,-49.73924376226413
20.63617603,5210406,Itaberaí,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.19990017105657,-49.75628072015088
19.52298134,5210406,Itaberaí,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-16.15557761940425,-49.78200450637195
12.50938787,5216809,Petrolina de Goiás,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.106429929595638,-49.41337172622099
13.14135744,5208707,Goiânia,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.47687631690905,-49.23217047999995
49.75311027,5208152,Gameleira de Goiás,,,GO,15,Paranaíba,Indefinido,INDEFINIDO,-16.44255654138001,-48.69829274444202
24.62032952,5201108,Anápolis,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.326213641040397,-48.81352789924788
18.49053157,5201108,Anápolis,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.33080686381126,-48.810181955145495
22.0614498,5201108,Anápolis,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.330866904797798,-48.815106174719666
77.73761702,5208152,Gameleira de Goiás,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.321535148026918,-48.651104411509394
30.96167986,5208152,Gameleira de Goiás,,,GO,15,Paranaíba,SC,SAFRA SIMPLES,-16.365415698059262,-48.6104817047089
104.26066323,5220603,Silvânia,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.433417132994563,-48.373344759436634
13.57180807,5212501,Luziânia,,,GO,15,Paranaíba,TC,SAFRA TRIPLA,-16.400620245094277,-47.99991215131263
52.78385429,5218300,Posse,,,GO,38,Tocantins-Araguaia,P,PERENE,-14.365076209644942,-46.74281934948504
60.35359641,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.62786762323843,-47.91554342756362
44.34592178,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.622649824433555,-47.909962022135446
22.21880259,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.624646013715406,-47.90303208933054
48.36081856,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.630768321027052,-47.90842619915988
50.07718765,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.637400783531122,-47.91161022237665
102.55422121,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.645659895715381,-47.914756786520336
30.41747355,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,Indefinido,INDEFINIDO,-14.739114347688306,-47.8981249476124
69.31029969,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-14.751572023528409,-47.96396555322217
36.34617604,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,SP,SEMIPERENE,-14.745851660636815,-47.94253894988882
52.09640793,5214606,Niquelândia,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-14.747926931617839,-47.935097076037934
75.43722527,5200175,Água Fria de Goiás,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-14.80527360674791,-47.76133681288618
98.56632524,5200175,Água Fria de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.936895070972843,-47.666790052826556
102.51091356,5200175,Água Fria de Goiás,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-14.656463767257398,-47.73341729947419
110.92001707,5200175,Água Fria de Goiás,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-14.65849264514629,-47.722462594764195
37.82679705,5220009,São João d'Aliança,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-14.655406206723514,-47.60762132855287
81.6786839,5220009,São João d'Aliança,,,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-14.646317782937636,-47.60226051560701
62.68391112,5200175,Água Fria de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.994618495498601,-47.6138603492032
85.45526545,5222203,Vila Boa,,,GO,38,Tocantins-Araguaia,SP,SEMIPERENE,-14.918159101791282,-47.14055217629267
70.02229559,5222203,Vila Boa,,,GO,38,Tocantins-Araguaia,SP,SEMIPERENE,-14.886380103999954,-47.148560098737086
68.72881073,5222203,Vila Boa,,,GO,38,Tocantins-Araguaia,SP,SEMIPERENE,-14.893995875731655,-47.14804954511926
38.78692438,5207907,Flores de Goiás,,,GO,38,Tocantins-Araguaia,DLC,SAFRA DUPLA (LONGA),-14.887254580994533,-46.659713337531116
71.37758786,5207907,Flores de Goiás,,,GO,27,São Francisco,WC,SAFRA DUPLA (INVERNO),-15.010712165639525,-46.78914700293758
54.439702,3109303,Buritis,,,MG,27,São Francisco,WC,SAFRA DUPLA (INVERNO),-15.017660261552804,-46.781505347159815
96.27189592,5207907,Flores de Goiás,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.009021833457941,-46.77960741964499
92.1397318,5207907,Flores de Goiás,,,GO,27,São Francisco,DC,SAFRA DUPLA,-15.01623412121134,-46.77249019123299
115.20294464,5207907,Flores de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.994523474707286,-46.77628604642002
130.19969678,5207907,Flores de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.997272475758752,-46.76459880824117
135.97549852,5207907,Flores de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.988925715525708,-46.755758461414594
72.57772183,5207907,Flores de Goiás,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.979666607333296,-46.76060317125471
